brand_name,generic_name,drug_type,manufacturer,total_spending_2023,total_claims_2023,total_beneficiaries_2023,avg_spending_per_claim_2023,avg_spending_per_unit_2023,cost_per_beneficiary_2023,claims_per_beneficiary_2023
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,Eywa Pharma Inc,1294658.39,16135,9336.0,80.239131701,1.0807837247,138.67377784918594,1.7282562125107113
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,Avet Pharmaceut,2956079.38,44698,18625.0,66.134488791,0.9076107067,158.71567140939598,2.3998926174496646
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,Strides Pharma,5668762.78,86924,39019.0,65.215162441,0.897684782,145.28211332940364,2.2277352059253186
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,Marlex Pharm.,2827.04,47,29.0,60.149787234,0.8469932736,97.48413793103448,1.6206896551724137
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,"Trupharma, LLC.",255229.17,4726,2587.0,54.005325857,0.8631060815,98.65835717046772,1.8268264398917666
ACETAZOLAMIDE,ACETAZOLAMIDE,Generic,Major Pharmaceu,10037.9,121,68.0,82.95785124,1.495070003,147.61617647058824,1.7794117647058822
ACETAZOLAMIDE ER,ACETAZOLAMIDE,Brand,Overall,6352444.08,81763,33680.0,77.693383071,1.0930203923,188.61176009501187,2.4276425178147267
ACETAZOLAMIDE ER,ACETAZOLAMIDE,Brand,Alembic Pharmac,2285.16,18,,126.95333333,1.484834308,,
ACETAZOLAMIDE ER,ACETAZOLAMIDE,Brand,"Micro Labs USA,",1299115.17,15962,5893.0,81.387994612,1.1520716562,220.45056338028166,2.708637366366876
ACETAZOLAMIDE ER,ACETAZOLAMIDE,Brand,Ingenus Pharmac,134386.27,2263,1177.0,59.384122846,1.1514250341,114.17694987255734,1.9226847918436702
ACETAZOLAMIDE ER,ACETAZOLAMIDE,Brand,Accord Healthca,1779238.53,20391,10144.0,87.256070325,1.0968099561,175.3981200709779,2.010153785488959
ACETAZOLAMIDE ER,ACETAZOLAMIDE,Brand,Zydus Pharmaceu,1576909.84,17750,9150.0,88.839990986,1.2174296483,172.3398732240437,1.9398907103825136
ACETAZOLAMIDE ER,ACETAZOLAMIDE,Brand,Nostrum Laborat,1126559.26,15283,7592.0,73.713227769,1.2283126826,148.38767913593256,2.013040042149631
ACETAZOLAMIDE ER,ACETAZOLAMIDE,Brand,Avet Pharmaceut,433949.85,10096,6012.0,42.982354398,0.5546875879,72.18061377245509,1.6793080505655356
ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,Generic,Overall,8855.78,19,,466.09368421,41.382149533,,
ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,Generic,Avet Pharmaceut,8855.78,19,,466.09368421,41.382149533,,
ACETIC ACID*,ACETIC ACID,Brand,Overall,1593486.51,74733,43136.0,21.322394525,0.9307912383,36.940989196958455,1.7324972181008902
ACETIC ACID*,ACETIC ACID,Brand,Rising Pharm,32122.46,1130,926.0,28.426955752,1.832427838,34.68948164146868,1.2203023758099352
ACETIC ACID*,ACETIC ACID,Brand,Hi-Tech/Akorn C,130219.7,5316,4743.0,24.495805117,1.566552782,27.455133881509592,1.120809614168248
ACETIC ACID*,ACETIC ACID,Brand,"Trupharma, LLC.",867499.86,33646,28162.0,25.783149854,1.6420981797,30.803915204886017,1.194730487891485
ACETIC ACID*,ACETIC ACID,Brand,Morton Grove Ph,55001.09,2283,1933.0,24.091585633,1.5727875964,28.453745473357472,1.1810657009829282
ACETIC ACID*,ACETIC ACID,Brand,Baxter Healthca,192706.84,14156,4414.0,13.613085617,0.0085823843,43.6580969642048,3.207068418667875
ACETIC ACID*,ACETIC ACID,Brand,B.Braun,315936.56,18202,5219.0,17.357244259,0.0109977968,60.53584211534777,3.4876413105958997
ACETYLCYSTEINE*,ACETYLCYSTEINE,Brand,Overall,1834431.33,18326,4830.0,100.0999307,1.0175325829,379.79944720496894,3.794202898550725
ACETYLCYSTEINE*,ACETYLCYSTEINE,Brand,Amer. Regent,709049.99,4236,1466.0,167.38668319,1.6484328707,483.6630218281037,2.889495225102319
ACETYLCYSTEINE*,ACETYLCYSTEINE,Brand,Auromedics-Eugi,124322.74,127,51.0,978.9192126,5.091021294,2437.7007843137258,2.4901960784313726
ACETYLCYSTEINE*,ACETYLCYSTEINE,Brand,Fresenius-Premi*,40278.69,971,374.0,41.481658084,0.4044142562,107.6970320855615,2.5962566844919786
ACETYLCYSTEINE*,ACETYLCYSTEINE,Brand,Fresenius Kabi,10305.66,49,,210.31959184,3.2946483376,,
ACETYLCYSTEINE*,ACETYLCYSTEINE,Brand,App/Fresenius K,698913.41,9463,3098.0,73.857488112,0.7871869638,225.60148805681087,3.054551323434474
ACETYLCYSTEINE*,ACETYLCYSTEINE,Brand,"Almaject, Inc",13067.65,90,33.0,145.19611111,1.1140366581,395.98939393939395,2.727272727272727
ACETYLCYSTEINE*,ACETYLCYSTEINE,Brand,Perrigo/Padagis,117139.8,201,73.0,582.78507463,4.5843691296,1604.654794520548,2.7534246575342465
ACETYLCYSTEINE*,ACETYLCYSTEINE,Brand,Hospira/Pfizer,113824.02,2985,1194.0,38.132,0.4201582526,95.33,2.5
ACETYLCYSTEINE*,ACETYLCYSTEINE,Brand,Sagent Pharmace,7529.37,204,15.0,36.908676471,3.6216305916,501.95799999999997,13.6
ACIPHEX,RABEPRAZOLE SODIUM,Brand,Overall,16133400.63,7726,1820.0,2088.1957844,24.077408339,8864.505840659342,4.245054945054945
ACIPHEX,RABEPRAZOLE SODIUM,Brand,Eisai/ Woodward,501435.17,387,182.0,1295.6981137,19.983866172,2755.1382967032964,2.1263736263736264
ACIPHEX,RABEPRAZOLE SODIUM,Brand,Woodward Pharma,15631965.46,7339,1782.0,2129.9857556,24.293268922,8772.14672278339,4.118406285072952
ACITRETIN,ACITRETIN,Generic,Overall,20850061.95,41308,9207.0,504.74634332,12.366738435,2264.5880254154445,4.486586293037906
ACITRETIN,ACITRETIN,Generic,Amneal Pharmace,4822026.11,8847,3091.0,545.04646886,12.842972197,1560.0213879003559,2.8621805241022322
ACITRETIN,ACITRETIN,Generic,Mylan,6342520.78,11578,3066.0,547.80797893,12.955179809,2068.663007175473,3.776255707762557
ACITRETIN,ACITRETIN,Generic,Teva USA,1082809.92,1873,820.0,578.1152803,14.433348363,1320.4999024390243,2.2841463414634147
ACITRETIN,ACITRETIN,Generic,Avkare,282988.91,554,199.0,510.81030686,13.650602494,1422.054824120603,2.7839195979899496
ACITRETIN,ACITRETIN,Generic,Sigmapharm Labo,8319716.23,18456,4731.0,450.78653175,11.521038641,1758.5534199957726,3.9010779961953075
ACTEMRA ACTPEN,TOCILIZUMAB,Brand,Overall,184648415.67,44486,6927.0,4150.7084402,1330.0928852,26656.332563880467,6.422116356286993
ACTEMRA ACTPEN,TOCILIZUMAB,Brand,"Genentech, Inc.",184648415.67,44486,6927.0,4150.7084402,1330.0928852,26656.332563880467,6.422116356286993
ACTEMRA*,TOCILIZUMAB,Brand,Overall,135711700.12,33939,4570.0,3998.6947205,1074.3452266,29696.214468271337,7.426477024070022
ACTEMRA*,TOCILIZUMAB,Brand,"Genentech, Inc.*",135711700.12,33939,4570.0,3998.6947205,1074.3452266,29696.214468271337,7.426477024070022
ACTHAR,CORTICOTROPIN,Brand,Overall,377839858.86,5235,942.0,72175.713249,9272.1437757,401103.8841401274,5.557324840764331
ACTHAR,CORTICOTROPIN,Brand,Mallinckrodt Ph,377839858.86,5235,942.0,72175.713249,9272.1437757,401103.8841401274,5.557324840764331
ACTHIB,HAEMOPH B POLY CONJ-TET TOX/PF,Brand,Overall,65207.56,1975,1548.0,33.016486076,33.150767666,42.12374677002584,1.2758397932816536
ACTHIB,HAEMOPH B POLY CONJ-TET TOX/PF,Brand,Sanofi-Pasteur,65207.56,1975,1548.0,33.016486076,33.150767666,42.12374677002584,1.2758397932816536
ACTIMMUNE,"INTERFERON GAMMA-1B,RECOMB.",Brand,Overall,26300696.62,423,43.0,62176.587754,10814.431176,611644.1074418605,9.837209302325581
ACTIMMUNE,"INTERFERON GAMMA-1B,RECOMB.",Brand,Horizon/Amgen,26300696.62,423,43.0,62176.587754,10814.431176,611644.1074418605,9.837209302325581
ACTIVELLA,ESTRADIOL/NORETHINDRONE ACET,Brand,Overall,124689.52,234,55.0,532.86119658,9.9847469571,2267.082181818182,4.254545454545455
ACTIVELLA,ESTRADIOL/NORETHINDRONE ACET,Brand,Amneal Pharmace,124689.52,234,55.0,532.86119658,9.9847469571,2267.082181818182,4.254545454545455
ACTONEL,RISEDRONATE SODIUM,Brand,Overall,1132973.42,1617,398.0,700.66383426,170.59189078,2846.6668844221103,4.062814070351759
ACTONEL,RISEDRONATE SODIUM,Brand,Actavis/Allerga,1132973.42,1617,398.0,700.66383426,170.59189078,2846.6668844221103,4.062814070351759
ACTOPLUS MET,PIOGLITAZONE HCL/METFORMIN HCL,Brand,Overall,131484.67,143,27.0,919.47321678,10.226699074,4869.802592592593,5.296296296296297
ACTOPLUS MET,PIOGLITAZONE HCL/METFORMIN HCL,Brand,Takeda Pharmace,131484.67,143,27.0,919.47321678,10.226699074,4869.802592592593,5.296296296296297
ACTOS,PIOGLITAZONE HCL,Brand,Overall,947844.25,847,224.0,1119.0605077,18.217306603,4231.447544642857,3.78125
ACTOS,PIOGLITAZONE HCL,Brand,Takeda Pharmace,947844.25,847,224.0,1119.0605077,18.217306603,4231.447544642857,3.78125
ACULAR,KETOROLAC TROMETHAMINE,Brand,Overall,74908.17,230,160.0,325.68769565,49.608059603,468.1760625,1.4375
ACULAR,KETOROLAC TROMETHAMINE,Brand,Allergan Inc.,74908.17,230,160.0,325.68769565,49.608059603,468.1760625,1.4375
ACULAR LS,KETOROLAC TROMETHAMINE,Brand,Overall,23939.19,74,53.0,323.50256757,50.398294737,451.68283018867925,1.3962264150943395
ACULAR LS,KETOROLAC TROMETHAMINE,Brand,Allergan Inc.,23939.19,74,53.0,323.50256757,50.398294737,451.68283018867925,1.3962264150943395
ACUVAIL,KETOROLAC TROMETHAMINE/PF,Brand,Overall,173941.25,332,164.0,523.91942771,11.469914276,1060.6173780487804,2.024390243902439
ACUVAIL,KETOROLAC TROMETHAMINE/PF,Brand,Allergan Inc.,173941.25,332,164.0,523.91942771,11.469914276,1060.6173780487804,2.024390243902439
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,Generic,Overall,46569.56,234,103.0,199.01521368,1.1283649377,452.13165048543686,2.2718446601941746
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,Generic,Fresenius-Premi,1276.43,12,,106.36916667,0.2272036312,,
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,Generic,Fresenius Kabi,24965.15,95,53.0,262.79105263,0.6724981817,471.04056603773586,1.7924528301886793
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,Generic,Auromedics-Eugi,20327.98,127,51.0,160.06283465,1.554516729,398.5878431372549,2.4901960784313726
ACYCLOVIR*,ACYCLOVIR,Brand,Overall,49440236.67,1899271,670065.0,26.031164942,0.9027647559,73.78423984240335,2.8344578511039975
ACYCLOVIR*,ACYCLOVIR,Brand,Carlsbad Tech,330101.01,19197,9681.0,17.195447726,0.2721015357,34.09782150604276,1.9829563061667184
